Epoch,Training Loss,Validation Loss,Validation Accuracy
1,3.763563394546509,2.4356933939332763,0.35888888888888887
2,2.1086063385009766,1.5240824813594938,0.555
3,1.256122350692749,1.3967752034798548,0.58
4,1.5454834699630737,1.3207182622980327,0.5994444444444444
5,1.277213215827942,1.2820479769872166,0.6116666666666667
6,1.3819303512573242,1.2509705850247863,0.6261111111111111
7,1.1825408935546875,1.2196110993810645,0.6316666666666667
8,1.1295318603515625,1.1913502415203,0.6433333333333333
9,0.9486812949180603,1.1718271836597058,0.6472222222222223
10,0.9124930500984192,1.1481533014606167,0.6577777777777778
11,0.8871376514434814,1.129418575100782,0.6605555555555556
12,0.8663179278373718,1.1111036451607814,0.6638888888888889
13,0.8841111660003662,1.0953553812837669,0.6688888888888889
14,0.8744872808456421,1.0802714724933806,0.67
15,0.8337237238883972,1.0679102461526377,0.6733333333333333
16,0.849410891532898,1.0554561067413952,0.6772222222222222
17,0.8246933221817017,1.0456844639687592,0.6827777777777778
18,0.8217962384223938,1.0371071877871225,0.685
19,0.7971546649932861,1.0290228461838948,0.6861111111111111
20,0.7642791867256165,1.022357449126171,0.6888888888888889
21,0.7374585270881653,1.016614444626547,0.6883333333333334
22,0.7091168761253357,1.0115633135779192,0.6894444444444444
23,0.7235121726989746,1.0065875821868475,0.6883333333333334
24,0.6958913207054138,1.0021676405836155,0.69
25,0.6892974376678467,0.9985280182314777,0.6888888888888889
26,0.6715993285179138,0.9947841481076709,0.69
27,0.65166836977005,0.9916427814166269,0.6911111111111111
28,0.64188551902771,0.9889429655906538,0.6916666666666667
29,0.6337078213691711,0.986638296789024,0.6922222222222222
30,0.6249192357063293,0.9842701783613301,0.6894444444444444
31,0.6197196245193481,0.9823117688803985,0.6883333333333334
32,0.6194584369659424,0.9806029252940789,0.6916666666666667
33,0.6186453700065613,0.9791295177078185,0.6922222222222222
34,0.6138161420822144,0.9779261543994976,0.6933333333333334
35,0.6097601652145386,0.9768563751697851,0.6927777777777778
36,0.6038435101509094,0.9757810383922576,0.6944444444444444
37,0.6011548042297363,0.9749608707067091,0.695
38,0.5975679159164429,0.9741436072706711,0.6944444444444444
39,0.593932032585144,0.9734603962529864,0.6944444444444444
40,0.5930171012878418,0.9728795710418167,0.6961111111111111
41,0.59205162525177,0.9723522103853368,0.6944444444444444
42,0.5905280113220215,0.9718885734429609,0.6955555555555556
43,0.589987576007843,0.9714522986711623,0.6944444444444444
44,0.5901784300804138,0.9711007529570229,0.6938888888888889
45,0.5900583267211914,0.9707890170566195,0.6938888888888889
46,0.5916907787322998,0.9704640982712024,0.6938888888888889
47,0.5921325087547302,0.9701859022305063,0.6933333333333334
48,0.5927098989486694,0.9699868687435002,0.6922222222222222
49,0.5938126444816589,0.9697960713834295,0.6916666666666667
50,0.594482421875,0.9696286217608334,0.6916666666666667
